token_dec,token_hex,rid,rva,kind,accessor,name,decl,category
100670977,0x06001E01,7681,0x000D8550,method,,evtHokanColor,"public unsafe static uint evtHokanColor(int hokan, float ratio, uint c1, uint c2)",Interp_Hokan
100670978,0x06001E02,7682,0x000D85B8,method,,evtHokanSceneLight,"public unsafe static void evtHokanSceneLight(int hokan, float ratio, pmdSceneLightTable_t key1, pmdSceneLightTable_t key2, ref pmdSceneLightTable_t d)",Interp_Hokan
100670979,0x06001E03,7683,0x000D8648,method,,evtHokanSceneFog,"public unsafe static void evtHokanSceneFog(int hokan, float ratio, pmdSceneFogTable_t key1, pmdSceneFogTable_t key2, ref pmdSceneFogTable_t d)",Interp_Hokan
100670980,0x06001E04,7684,0x000D86D8,method,,evtHokanBlur2,"public unsafe static void evtHokanBlur2(int hokan, float ratio, dds3Effect_Blur_t key1, dds3Effect_Blur_t key2, ref dds3Effect_Blur_t d)",Interp_Hokan
100670981,0x06001E05,7685,0x000D8768,method,,evtHokanMultBlur,"public unsafe static void evtHokanMultBlur(int hokan, float ratio, dds3Effect_PartialMultiBlurParam_t key1, dds3Effect_PartialMultiBlurParam_t key2, ref dds3Effect_PartialMultiBlurParam_t d)",Interp_Hokan
100670982,0x06001E06,7686,0x000D87F8,method,,evtHokanFilter,"public unsafe static void evtHokanFilter(int hokan, float ratio, dds3Effect_Filter_t key1, dds3Effect_Filter_t key2, ref dds3Effect_Filter_t d)",Interp_Hokan
100670983,0x06001E07,7687,0x000D8888,method,,evtHokanMultFilter,"public unsafe static void evtHokanMultFilter(int hokan, float ratio, dds3Effect_PartialMultiFilterParam_t key1, dds3Effect_PartialMultiFilterParam_t key2, ref dds3Effect_PartialMultiFilterParam_t d)",Interp_Hokan
100670984,0x06001E08,7688,0x000D8918,method,,evtHokanDistBlur,"public unsafe static void evtHokanDistBlur(int hokan, float ratio, dds3Effect_DistortionBlurParam_t key1, dds3Effect_DistortionBlurParam_t key2, ref dds3Effect_DistortionBlurParam_t d)",Interp_Hokan
100670985,0x06001E09,7689,0x000D89A8,method,,evtHokanRipBlur,"public unsafe static void evtHokanRipBlur(int hokan, float ratio, dds3Effect_RippleBlurParam_t key1, dds3Effect_RippleBlurParam_t key2, ref dds3Effect_RippleBlurParam_t d)",Interp_Hokan
100670986,0x06001E0A,7690,0x000D8A38,method,,evtRunUnitMode,"public unsafe static void evtRunUnitMode(pmdProcessWork_t wdata, dds3Basic_t unit, int mode)",API
100670987,0x06001E0B,7691,0x000D8A90,method,,_mdlShow,"public unsafe static void _mdlShow(pmdProcessWork_t wdata, dds3ModelHandle_t mdl)",misc
100670988,0x06001E0C,7692,0x000D8AD8,method,,_mdlHide,"public unsafe static void _mdlHide(pmdProcessWork_t wdata, dds3ModelHandle_t mdl)",misc
